gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3,mousebrain-zeisel2018,HBGLU10,0.1497742840490736,0.0989988499887692,0.0651648784044259
SCZ_PGC3,mousebrain-zeisel2018,MFOL1,0.0895336534244061,0.0609082349872951,0.0707950230625928
SCZ_PGC3,mousebrain-zeisel2018,SCGLU3,0.1456740189396653,0.1049308958652195,0.0825358270709633
SCZ_PGC3,mousebrain-zeisel2018,ENT8,0.1088500537287265,0.0801205342973573,0.0871506941187613
SCZ_PGC3,mousebrain-zeisel2018,MEINH5,0.1251237642501298,0.0921305335390396,0.0872243951979337
SCZ_PGC3,mousebrain-zeisel2018,HBNOR,0.1314676767544308,0.1007840528702685,0.0960506534822097
SCZ_PGC3,mousebrain-zeisel2018,MSN6,0.1247068820028794,0.0987507983075631,0.1033327901928662
SCZ_PGC3,mousebrain-zeisel2018,SEPNBL,0.1524601942645231,0.1218450824781821,0.1054295015063278
SCZ_PGC3,mousebrain-zeisel2018,PSNF3,0.1005723983226092,0.0849246130278429,0.1181658343016117
SCZ_PGC3,mousebrain-zeisel2018,HBINH3,0.1120814412109688,0.0962532365083253,0.122131834248401
SCZ_PGC3,mousebrain-zeisel2018,ENT5,0.0856486044492922,0.0742676798981364,0.1244151089970763
SCZ_PGC3,mousebrain-zeisel2018,PSNF1,0.0898599697664433,0.0826251065348849,0.1384032366113496
SCZ_PGC3,mousebrain-zeisel2018,NFOL1,0.0695840087380665,0.0640672754602037,0.1387245942498407
SCZ_PGC3,mousebrain-zeisel2018,CBGRC,0.1033854150093403,0.099706222185509,0.1498998551151996
SCZ_PGC3,mousebrain-zeisel2018,OBNBL4,0.1178623946976828,0.1138182857217766,0.1502191236537525
SCZ_PGC3,mousebrain-zeisel2018,MOL1,0.0700529249943108,0.0704190938395587,0.1599250902344269
SCZ_PGC3,mousebrain-zeisel2018,CBPC,0.0933407745136857,0.0974854330577036,0.1691694588650585
SCZ_PGC3,mousebrain-zeisel2018,COP2,0.0685987637244674,0.0738664514914077,0.1765336124886807
SCZ_PGC3,mousebrain-zeisel2018,SCINH9,0.0994255494759278,0.1078485722285579,0.1782982069467575
SCZ_PGC3,mousebrain-zeisel2018,HBADR,0.0823238960589603,0.0927800671744109,0.1874656949753364
SCZ_PGC3,mousebrain-zeisel2018,PSNP1,0.0549220360520791,0.0680235069527506,0.209725305080257
SCZ_PGC3,mousebrain-zeisel2018,HYPEP5,0.0762470550724133,0.0985721116562965,0.2196150283343353
SCZ_PGC3,mousebrain-zeisel2018,DEINH4,0.0691573478379392,0.1011742907332185,0.2471362364486264
SCZ_PGC3,mousebrain-zeisel2018,MOL2,0.044012651519274,0.0668607655101057,0.2551865498029244
SCZ_PGC3,mousebrain-zeisel2018,OBNBL5,0.059169217758746,0.0977807216553947,0.2725538972533248
SCZ_PGC3,mousebrain-zeisel2018,SCGLU8,0.0621943884418602,0.1213969791480348,0.3042166313302453
SCZ_PGC3,mousebrain-zeisel2018,PSNP6,0.029003677456876,0.068831171393962,0.3367440831300913
SCZ_PGC3,mousebrain-zeisel2018,MEINH12,0.0440394819331681,0.1137045795556619,0.3492643952486651
SCZ_PGC3,mousebrain-zeisel2018,MEINH8,0.040730402054366,0.108642264597394,0.3538687510333869
SCZ_PGC3,mousebrain-zeisel2018,HYPEP1,0.0332307734303226,0.0933297965212294,0.3609013611062182
SCZ_PGC3,mousebrain-zeisel2018,PSNP3,0.0232820407549362,0.0675263836656877,0.3651307634262603
SCZ_PGC3,mousebrain-zeisel2018,MOL3,0.0185225247407526,0.0647132244646058,0.3873550622549141
SCZ_PGC3,mousebrain-zeisel2018,SCINH4,0.0311099547463865,0.115663160587486,0.3939781954152454
SCZ_PGC3,mousebrain-zeisel2018,OBDOP1,0.0218322843630881,0.0962976889150659,0.4103236683375938
SCZ_PGC3,mousebrain-zeisel2018,SCGLU5,0.0182302222079742,0.0898422184846646,0.4196026528401415
SCZ_PGC3,mousebrain-zeisel2018,SCGLU10,0.0217697625563416,0.1129221324275129,0.4235647941333358
SCZ_PGC3,mousebrain-zeisel2018,MBDOP1,0.0152568639755428,0.107423193272342,0.4435308099250318
SCZ_PGC3,mousebrain-zeisel2018,SCGLU9,0.0136551856163678,0.1027030574727298,0.4471142555897733
SCZ_PGC3,mousebrain-zeisel2018,HYPEP4,0.0086596323133454,0.1126931771553113,0.4693749295904592
SCZ_PGC3,mousebrain-zeisel2018,HYPEP8,0.0080778628465986,0.1106189684390112,0.4708939326663292
SCZ_PGC3,mousebrain-zeisel2018,SCGLU6,-0.0017385607377537,0.0977947941507628,0.5070917559834353
SCZ_PGC3,mousebrain-zeisel2018,DEINH7,-0.0039556635070515,0.1172361318544389,0.5134579213745085
SCZ_PGC3,mousebrain-zeisel2018,CR,-0.0162633308581402,0.1016412191892899,0.5635611926240104
SCZ_PGC3,mousebrain-zeisel2018,SCGLU1,-0.0301503611910509,0.1240018404158143,0.5960515262396336
SCZ_PGC3,mousebrain-zeisel2018,PSNP5,-0.0261169893903479,0.0741673610183226,0.6376292466102982
SCZ_PGC3,mousebrain-zeisel2018,PSNF2,-0.032099691302559,0.0833200361788653,0.6499739333075221
SCZ_PGC3,mousebrain-zeisel2018,SCGLU7,-0.0475524960420654,0.1191656651838159,0.6550671220221502
SCZ_PGC3,mousebrain-zeisel2018,PSPEP4,-0.0347383369421776,0.0768962157533539,0.6742742619164994
SCZ_PGC3,mousebrain-zeisel2018,COP1,-0.0337599862713956,0.0687334989894558,0.6883439417406129
SCZ_PGC3,mousebrain-zeisel2018,DEINH6,-0.06284754779887,0.1246762665109438,0.6928956380873291
SCZ_PGC3,mousebrain-zeisel2018,PSPEP1,-0.0424940965033641,0.0824475706241293,0.6968619008784867
SCZ_PGC3,mousebrain-zeisel2018,HYPEP7,-0.0653969733127224,0.1256033640104733,0.6986950812461843
SCZ_PGC3,mousebrain-zeisel2018,PSNP2,-0.0419436567007768,0.0774573872174154,0.7059164565743735
SCZ_PGC3,mousebrain-zeisel2018,HBINH1,-0.0654405635589914,0.1146421271819793,0.7159363266495802
SCZ_PGC3,mousebrain-zeisel2018,PSPEP2,-0.0511396781643537,0.0747891485633749,0.7529389482505937
SCZ_PGC3,mousebrain-zeisel2018,PSNP4,-0.063003812937506,0.0831200374719787,0.7757640769720485
SCZ_PGC3,mousebrain-zeisel2018,ENT1,-0.0808554852629312,0.1019571331722718,0.7861144984314745
SCZ_PGC3,mousebrain-zeisel2018,PSPEP3,-0.062336192655399,0.0768009357083446,0.7914997146028666
SCZ_PGC3,mousebrain-zeisel2018,ENT7,-0.0738220208965239,0.0904410599098836,0.7928131077445615
SCZ_PGC3,mousebrain-zeisel2018,SYNOR3,-0.0603756186679606,0.0691647697847896,0.8086405972127386
SCZ_PGC3,mousebrain-zeisel2018,ENT4,-0.0626331055877392,0.0700226730846393,0.8144570065843459
SCZ_PGC3,mousebrain-zeisel2018,HYPEP2,-0.1048183314879128,0.1122671214923601,0.824750251534725
SCZ_PGC3,mousebrain-zeisel2018,ENTG1,-0.0588241103178261,0.0624274264382748,0.8269674273828511
SCZ_PGC3,mousebrain-zeisel2018,DEINH8,-0.1162317825540749,0.1204139426253134,0.8327867203329573
SCZ_PGC3,mousebrain-zeisel2018,ENT2,-0.072699335537991,0.07403722192982,0.836924476189032
SCZ_PGC3,mousebrain-zeisel2018,ENT3,-0.0710663710921211,0.0715865162682966,0.8395718720729948
SCZ_PGC3,mousebrain-zeisel2018,OPC,-0.0714277516687835,0.0682928615073531,0.8521884625794919
SCZ_PGC3,mousebrain-zeisel2018,SYNOR1,-0.0910105826605174,0.0806656666084972,0.8703822376797783
SCZ_PGC3,mousebrain-zeisel2018,SYNOR4,-0.0881323787145757,0.0746560457290779,0.8810919910925573
SCZ_PGC3,mousebrain-zeisel2018,ENT6,-0.0955439809077373,0.0781583573737771,0.8892195512052236
SCZ_PGC3,mousebrain-zeisel2018,SYNOR2,-0.1080555526456942,0.0825111466435046,0.9048218215886974
SCZ_PGC3,mousebrain-zeisel2018,SCHW,-0.1354002297521866,0.0916154410172594,0.9302743826451504
SCZ_PGC3,mousebrain-zeisel2018,ACOB,-0.1017012022767831,0.0685509694070497,0.9310295613441988
SCZ_PGC3,mousebrain-zeisel2018,PSPEP6,-0.1447029398431352,0.0924530014160409,0.9412153062172262
SCZ_PGC3,mousebrain-zeisel2018,RGDG,-0.1385427295515562,0.087748079164175,0.9428059796865154
SCZ_PGC3,mousebrain-zeisel2018,SYCHO2,-0.1444774739864675,0.083076948191286,0.958978990843294
